address,squadron,prefund,ste,STE Real,tickets
terra133m64qdjq2rr0zw22ccq8w7gz5f2azad6qm882,degens,2250,3227.594251,3227.594251,12
terra1kwawc69v6th5aucmj3g4r5njhkk6mgyrn8un9g,degens,2000,3224.175576,3224.175576,12
terra1rts5y83faw3tyh9kr8uyzyptajntljdja0dqn6,degens,3000,3209.884023,3209.884023,12
terra1zhr9jv2swdlm9hmusklzz48amk7xy46klaj55z,degens,4400,3207.88343,3207.88343,12
terra1ze7p82c2das629ype5f3xcrmtg7p5jtp6hpdrq,degens,2200,3201.312516,3201.312516,12
terra1tlfv690n6nae6h9tpdzq0e28vm5uvyz59p92ug,degens,2000,3198.395668,3198.395668,12
terra1kcpvnfhx0mg77kz4j0dp7h7l9ytynp29rkrxqy,degens,2000,3185.832788,3185.832788,12
terra1um5f8g2h2unm9v9pcqhgs7m8t892jv509htxph,degens,5000,3185.754257,3185.754257,12
terra13q6sa34lqjqrv9txf4f6gzywtsw358syqxw8wn,degens,2500,3183.042183,3183.042183,12
terra1ynl3mxfk5fnzlm6efndg4hjkrlpgrwsmx6huxu,degens,2000,3179.543091,3179.543091,12
terra13xw8zzmxlsfm4vxk5kn8dzh0jy4n4y7uc9c8c6,degens,2000,3175.474989,3175.474989,12
terra1827w6tnx05yh40z8h290gt0tqfa9aj4p5dd8he,degens,2500,3174.306356,3174.306356,12
terra1jjkfgew9v77xnye5wrfw9ag09m4g02tqvtp080,degens,2500,3167.40277,3167.40277,12
terra10pjxljlfggm98qfu85694gatjvu3dhsj60d9kd,degens,2850,3165.990438,3165.990438,12
terra15m8xvcz77v7whhuxkyc6ucx0h025sd9un9v0nz,degens,2500,3164.21658,3164.21658,12
terra1j98alpzxs8nmsgfacpqjt4yfh74wh9hm0gsx68,degens,3000,3162.994039,3162.994039,12
terra1hq2sq595d5p0lwu368t8g62zvqx2lcwgu0ead3,degens,2000,3162.844625,3162.844625,12
terra1vxs3qmyfz3r6egpj7w7e6w9quxvjenvr4vt90x,degens,10000,3160.353289,3160.353289,12
terra1e7a7ggkasumeu0ejjdha7s385lp2www06lz5ln,degens,2200,3158.801645,3158.801645,12
