address,ste,tickets
terra17quzv4jzakh0rulsxz00n8s7000gap4acr3cr2,482.29,1
terra17qq7033sp58zte9nxgl8p0rkkypq709yln9c3k,250.08,1
terra1al5whljtcjhqwze7gzt259y67twrww5656fgxp,250.16,1
terra1a7e8ptpvcunffm3jr7a62nyfdmm0jaxnvth7d9,1761.14,7
terra1a7wz3fsul5exnaary759evja622lrp032e5clc,1901.87,7
terra1a7xk8ugla7heqwajexrgytd74yqn225ze9wdf5,252.24,1
terra1aakaat9dlrvawdz9shjc6tmmys5mtggpu0sn90,297.03,1
terra1aadp0ewxdzsvsaxshk89shpfzre46yjfwp0c7m,449.99,1
terra1aa9692xnyf4lv42x2ll7ukl0tvhc7uhez6cn7x,311.52,1
terra1aapg4f9e4aaxz6wnrmnrz069fv7prua20qvkjz,252,1
terra1aulewd9jxxz6krusg2pktj7ea2x37y4sqpaxd4,279.01,1
terra1am9hj4g0d2ukmu9mkn2myyfqj382jswryzak95,278.24,1
terra1a6w3eghxvrjuwhzeppdefmxlyz4yqg4t4qp0mw,284.39,1
terra1a6tvrevtahf3ddmtdre3ts40l04v7mmg8hkccy,251.51,1
terra1a6pn5p8ustjl8at6r9kpfx9xmgan6stxasqyjx,254.60,1
terra1aevpnfpk880uhsh6fkxf7amr2h2jvgfglfum7p,253.55,1
terra1ac7lt2w5hekvrkl75mdje34sg7v2msaum7amnf,1025.18,4
terra1ac95rrzf8zfp7qevmzw3v44thp0pt86mqwlsm6,536.12,2
terra1ahs7sgt9az5a2kzvqwpuhhdj5uz6nrvuhhdk7l,261.63,1
terra1ahr9z9w59gu9k0rgnr0wnrs79hd36hjc25vf9v,583.12,2
terra1ahpphrs6ngnzgf3mzg24r5k5haq8wxq33nexs0,3001.76,12
terra1a4224fxq54egh6tjeh94332yh5utqsra76w7s9,329.03,1
terra1a4z79zhzma67qe8tut2s39ld42prvur50qjem6,265.13,1
terra1a5aut2pf33qarjgjj8l8ac8chkrcvhmgagh7e3,927.96,3
terra1a5a2an3uy82vvmew527ppgrm80qcwq0zj7f75k,273.62,1
terra1a5n75d3gsaltkpllsv9n3ad9atc5get64samf9,684.59,2
terra1a5pqtxtdxhxtt9n6ee3m0jg292tjgg37406dfc,469.12,1
terra1anwvsk89zz890qhwr07tsx52kdpng6zdssp70q,259.60,1
terra1anfhrzn3uhprgjqncl2l6fjujkm7pkp3nkznlz,710.17,2
terra1aj749s3mqexkn4q79htvchk48wrn2lwrqcqsrc,929.10,3
terra1ajm2uums32v60rp0p0d8y7rpkqhqc98q504yuf,251.94,1
terra1ajt0x2mtuh2d09fd7dym087gsr7e22qg58yzw8,1811.47,7
terra1a3y0kkpsyr8qje5ttv8k3ch2q6zwc0gyx9tapx,252.01,1
terra1a3y297ull4750dq5sajxpttjlhem5xwm2067ql,3311.67,13
terra1a0mwd6zdgexvyta2vsmnjfvx5zdz0dxe489uu7,1001.05,4
terra1a064z9em0jws4759fllnr5hpspl0pkv00gmk3z,255,1
terra1a0cle539mnhe7kynkx5mr9slzynycl92pk7da6,250.62,1
terra1a042nj9dzq6d6yqtx0m303jqt0hyuqeddcenq8,374.65,1
terra1a0qts2095e3k5h84nrpj00dqkzfhhhqa33qnpl,2188.74,8
terra1awl2hxl2pm4pwxwy4ch3dqljzgk2mldfzz8ahf,360.29,1
terra1aw8597hg6q84us8uynfxhtw5y6qz0zqz3fq05p,671.73,2
terra1ad57fw6ec03xgn2x6sf9j2vam0p8d6dlyfcvvg,251,1
terra1adt9xj463008nsgxg28jemsm0ecgk66v6evx54,276.10,1
terra1adfdl6c4dpc67evzqpm5x9t0kcy4rkc848z50g,504.76,2
terra1adr5hgadxh8yzzkzaavn5qmcpxktthtvh04nhd,257.97,1
