staker,lp,stt,ste,faction
terra17cu2s...xesd,108.15935,0,135.1991875,degens
terra17cc4m...jhpl,3.790192,0.193419,4.931158999999999,degens
terra17cndv...4ysz,275.141913,18.015085,361.94247624999997,degens
terra17cj0a...eqcm,7686.889198,0,9608.6114975,degens
terra17crhx...cp36,2404.663368,8.751472,3014.580682,degens
terra17czt5...ckfm,0.190214,0,0.2377675,degens
terra17hlp4...7njc,0.147476,0.200013,0.384358,degens
terra17hyn2...zpht,115.889047,1.354756,146.21606475000002,degens
terra17k5mh...hh4c,10.501605,5,18.12700625,degens
terra17ktk0...xjtw,0.503563,21,21.62945375,degens
terra174csq...x97m,51.757177,0,64.69647125,degens
terra174pk6...pf2l,5.791832,0,7.23979,degens
terra1757lq...fnxx,2033.911793,30,2572.38974125,degens
terra175esz...tjgj,0.089049,0.000007,0.11131825,degens
terra1755ap...k3fk,1.122531,0,1.40316375,degens
terra1753jw...dpqt,1445.952297,0,1807.44037125,degens
terra175snd...8v9e,1.785587,2,4.2319837499999995,degens
terra175d5e...k4zd,130.277425,1,163.84678125,degens
terra1758ar...x7t9,354.849867,3000.930917,3444.4932507500002,degens
terra175qdp...c9ka,4.002645,2.066542,7.069848250000001,degens
terra17nvfa...9ylm,1.925367,0.1,2.50670875,degens
terra17ng79...vkum,2778.566872,0,3473.2085899999997,degens
terra17nqjd...n6mh,0.004269,0.002,0.007336250000000001,degens
terra17j7hy...tfmu,2.197714,10,12.747142499999999,degens
terra17j7q3...uhvn,11582.381034,0,14477.9762925,degens
terra173lwe...s39w,42.20402,1,53.755025,degens
terra1733kg...9svg,0.292884,0.348026,0.714131,degens
terra173dfj...7mcs,199.280131,0,249.10016375,degens
terra17390m...yaxx,132.626245,5.469989,171.25279525000002,degens
terra17smaa...cuau,1.38255,0.5,2.2281874999999998,degens
terra17skag...cwmg,153.895565,100,292.36945625,degens
terra17snxw...kgqy,1212.187203,10036,11551.23400375,degens
terra17snrg...97lp,5.532574,0,6.9157175,degens
terra17s0m7...hrmk,170.147361,0,212.68420125,degens
terra1707cz...q5gj,0.446075,3000.556156,3001.11374975,degens
terra17029f...dum3,37.527062,16.305561,63.2143885,degens
terra1708q4...yt75,5.506321,313.662094,320.54499525,degens
terra170xhq...7mjg,3.01225,72,75.7653125,degens
terra17w7xx...0vul,45.739331,0,57.17416375,degens
terra17wvtg...uyfw,1,1,2.25,degens
terra17wx28...yv4k,611.83832,10,774.7978999999999,degens
terra17d7qr...lne3,3.38,0,4.225,degens
terra17dac8...hk7u,1339.491447,1609.214049,3283.57835775,degens
terra17dusl...dgcp,2.167843,0.1,2.80980375,degens
terra17ds8z...gk0s,252.428129,0,315.53516125,degens
terra17vuwy...5y2q,20.105349,23,48.13168625,degens
terra17v6pp...dehh,0.198981,0,0.24872624999999998,degens
terra17vhzv...ytzq,1.834085,0,2.29260625,degens
terra17v32x...hse2,0.212972,0.01,0.276215,degens
terra17v8ec...xx9t,8.204099,0,10.25512375,degens
terra17vx0a...fmxe,1798.779267,811.550844,3060.0249277499997,degens
terra17vx0q...txx0,2.005733,396.497712,399.00487825,degens
terra17v9wr...45kk,0.392365,0,0.49045625000000004,degens
terra17v9va...293e,49.952233,0,62.44029125,degens
terra17vzem...5vv6,0.400091,50,50.50011375,degens
terra17t6jq...5h24,2.189316,0,2.7366449999999998,degens
terra17tcyt...3n86,83.113829,20,123.89228625,degens
terra17tncr...h8r0,1708.502274,82.96932,2218.5971625,degens
terra17tvq9...70pk,1.104475,0.50003,1.88062375,degens
terra17tfzg...8z4u,8611.25268,337.738561,11101.804411,degens
terra17tx52...tfpr,91.105068,0,113.881335,degens
terra17fcqx...0e5g,100,300,425,degens
terra17f5gv...gra8,138.601445,210.548714,383.80052025,degens
terra17f3e8...w57h,2402.755948,0,3003.444935,degens
terra17gj30...guwh,3.489586,5,9.3619825,degens
terra17g3mn...aj8l,0.201538,0.09,0.3419225,degens
terra17g99k...2r3e,122.169691,0,152.71211375000001,degens
terra178alz...94qw,5.356045,0,6.69505625,degens
terra178uwa...jnvp,8.809298,20.344126,31.355748499999997,degens
terra17xzdw...txr5,156.525141,10.038162,205.69458824999998,degens
terra17xzxx...mlxq,9.507685,1.364891,13.249497250000001,degens
terra179cek...unaq,0.200789,0.01,0.26098625,degens
terra179fjv...7vl0,241.135875,117.587337,419.00718075,degens
terra17ymqa...3mgu,0.445484,2,2.556855,degens
terra17yec9...warp,107.17761,0,133.9720125,degens
terra17y4yn...ftec,58.264748,27.136955,99.96789,degens
terra17yn7e...xasv,0.429263,0.1,0.63657875,degens
terra17ys6c...3jkj,2.848394,1,4.5604925,degens
terra17yraf...8qmq,6.562628,0,8.203285000000001,degens
terra17yq47...r03z,0.411708,0.1,0.614635,degens
terra17rcve...7nm9,1.63729,1,3.0466124999999997,degens
terra17rgwx...gx7t,44.229089,31,86.28636125,degens
terra17rrlc...wusa,2129.411953,1,2662.7649412499995,degens
terra17zd7e...7h8a,0.222832,0.019687,0.298227,degens
terra17zty5...8jrk,15.763471,7.299639,27.003977749999997,degens
terra17ztyd...rplm,46.541001,503.014558,561.19080925,degens
